timestamp,id,pin,type,value,options
2025-04-16T20:53:49.210Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:49.459Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:49.710Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:49.961Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:50.211Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:50.460Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:50.711Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:50.962Z,sensor-14,14,sensor,7,[object Object]
2025-04-16T20:53:51.213Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:51.376Z,led-13,13,led,on,
2025-04-16T20:53:51.463Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:51.712Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:51.963Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:52.214Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:52.464Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:52.715Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:52.966Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:53.217Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:53.467Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:53.716Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:53.967Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:54.217Z,sensor-14,14,sensor,7,[object Object]
2025-04-16T20:53:54.466Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:54.717Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:54.967Z,sensor-14,14,sensor,7,[object Object]
2025-04-16T20:53:55.217Z,sensor-14,14,sensor,7,[object Object]
2025-04-16T20:53:55.468Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:55.718Z,sensor-14,14,sensor,7,[object Object]
2025-04-16T20:53:55.968Z,sensor-14,14,sensor,7,[object Object]
2025-04-16T20:53:56.218Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:56.468Z,sensor-14,14,sensor,7,[object Object]
2025-04-16T20:53:56.718Z,sensor-14,14,sensor,7,[object Object]
2025-04-16T20:53:56.968Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:57.218Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:57.443Z,switch-3,3,switch,closed,[object Object]
2025-04-16T20:53:57.468Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:57.719Z,sensor-14,14,sensor,7,[object Object]
2025-04-16T20:53:57.968Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:58.219Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:58.444Z,led-13,13,led,blink,
2025-04-16T20:53:58.468Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:58.718Z,sensor-14,14,sensor,7,[object Object]
2025-04-16T20:53:58.969Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:59.218Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:59.468Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:59.718Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:59.968Z,sensor-14,14,sensor,7,[object Object]
2025-04-16T20:54:00.218Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:00.468Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:00.718Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:00.968Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:01.218Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:01.468Z,sensor-14,14,sensor,7,[object Object]
2025-04-16T20:54:01.695Z,led-13,13,led,off,
2025-04-16T20:54:01.719Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:01.970Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:02.219Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:02.470Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:02.720Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:02.971Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:03.222Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:03.473Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:03.696Z,switch-3,3,switch,open,[object Object]
2025-04-16T20:54:03.724Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:03.975Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:04.226Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:04.475Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:04.697Z,led-13,13,led,off,
2025-04-16T20:54:04.725Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:04.975Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:05.226Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:05.477Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:05.727Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:05.976Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:06.227Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:06.477Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:06.728Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:06.979Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:07.230Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:07.481Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:07.731Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:07.981Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:08.232Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:08.482Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:08.733Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:08.982Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:09.232Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:54:09.482Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:09.732Z,sensor-14,14,sensor,4,[object Object]
2025-04-16T20:54:09.982Z,sensor-14,14,sensor,12,[object Object]
2025-04-16T20:54:10.233Z,sensor-14,14,sensor,12,[object Object]
2025-04-16T20:54:10.482Z,sensor-14,14,sensor,14,[object Object]
2025-04-16T20:54:10.732Z,sensor-14,14,sensor,14,[object Object]
2025-04-16T20:54:10.982Z,sensor-14,14,sensor,14,[object Object]
2025-04-16T20:54:11.233Z,sensor-14,14,sensor,14,[object Object]
2025-04-16T20:54:11.482Z,sensor-14,14,sensor,12,[object Object]
2025-04-16T20:54:11.733Z,sensor-14,14,sensor,12,[object Object]
2025-04-16T20:54:11.983Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:12.232Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:12.482Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:12.732Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:12.983Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:13.233Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:13.482Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:13.732Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:13.982Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:14.233Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:14.483Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:14.734Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:14.984Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:15.235Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:15.485Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:15.734Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:15.984Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:16.234Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:16.484Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:16.734Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:16.984Z,sensor-14,14,sensor,9,[object Object]
2025-04-16T20:54:17.235Z,sensor-14,14,sensor,9,[object Object]
